key,value,count,percent_of_total_changes_for_key
amenity,morgue prive,1,0.0
amenity,motorcycle_rental,1,0.0
amenity,moulin,1,0.0
amenity,music center,1,0.0
amenity,national college,1,0.0
amenity,nestle,1,0.0
amenity,nightclub ,1,0.0
amenity,oh,1,0.0
amenity,organisation,1,0.0
amenity,park,1,0.0
amenity,party palace,1,0.0
amenity,payment_terminal,1,0.0
amenity,piscine,1,0.0
amenity,place_of_worship;dentist,1,0.0
amenity,plage,1,0.0
amenity,plan haiti,1,0.0
amenity,plastic shop,1,0.0
amenity,playground,1,0.0
amenity,po,1,0.0
amenity,point d eau,1,0.0
amenity,poliambulatorio,1,0.0
amenity,polythene,1,0.0
amenity,pompe d'essence,1,0.0
amenity,pond,1,0.0
amenity,pool,1,0.0
amenity,poste d'alaitement,1,0.0
amenity,pratik,1,0.0
amenity,prep_school,1,0.0
amenity,printing press,1,0.0
amenity,pro,1,0.0
amenity,public_bench,1,0.0
amenity,public_transport_stop_position,1,0.0
amenity,puja samagari,1,0.0
amenity,puja shop,1,0.0
amenity,purnima medical & research centre,1,0.0
amenity,radio,1,0.0
amenity,radio chimen lakay,1,0.0
amenity,ravine bigonet,1,0.0
amenity,rental,1,0.0
amenity,residences du soleil Dr Coles,1,0.0
amenity,residential,1,0.0
amenity,restaurant;bar,1,0.0
amenity,resurant,1,0.0
amenity,riviere_cormier,1,0.0
amenity,road,1,0.0
amenity,ronpoint carrefour duford,1,0.0
amenity,route,1,0.0
amenity,route caye jacmel,1,0.0
amenity,school (boy),1,0.0
amenity,school;place_of_worship,1,0.0
amenity,scout_hut,1,0.0
amenity,seminary,1,0.0
amenity,shop cloth,1,0.0
amenity,shop soudure,1,0.0
amenity,shop_internet_access,1,0.0
amenity,shoping  centre,1,0.0
amenity,showclub,1,0.0
amenity,sign board,1,0.0
amenity,smoking_room,1,0.0
amenity,sport_centre,1,0.0
amenity,station Radio,1,0.0
amenity,stores,1,0.0
amenity,suspension bridge 80m (2020m),1,0.0
amenity,tank,1,0.0
amenity,terrain,1,0.0
amenity,theatre;cinema,1,0.0
amenity,ticket_booth,1,0.0
amenity,tillar,1,0.0
amenity,toilettes pour les policiers,1,0.0
amenity,toy_library,1,0.0
amenity,training_center,1,0.0
amenity,travel_agecy,1,0.0
amenity,"union des groupements paysan pour le developement educatif,economique et social d'haiti",1,0.0
amenity,unity,1,0.0
amenity,usine clairin,1,0.0
