start_date,creates,edits,deletes,total
2021-09-23,6433,2512,415,9360
2021-09-24,44316,7423,1914,53653
2021-09-25,17556,7437,2755,27748
2021-09-26,14299,6726,1985,23010
2021-09-27,27412,13460,4008,44880
2021-09-28,12550,4883,1317,18750
2021-09-29,12147,18282,3049,33478
2021-09-30,25850,3346,1421,30617
2021-10-01,20046,4923,1642,26611
2021-10-02,6261,5263,1265,12789
2021-10-03,10934,4520,1387,16841
2021-10-04,12461,4113,1282,17856
2021-10-05,18024,4775,1718,24517
2021-10-06,18130,2320,969,21419
2021-10-07,21196,4728,1609,27533
2021-10-08,22209,3489,1188,26886
2021-10-09,8358,2202,930,11490
2021-10-10,7227,3978,1458,12663
2021-10-11,4385,2049,439,6873
2021-10-12,8782,5237,786,14805
2021-10-13,16085,2855,697,19637
2021-10-14,10640,8500,1619,20759
2021-10-15,18966,4214,727,23907
2021-10-16,7095,3224,431,10750
2021-10-17,4237,3006,481,7724
2021-10-18,10416,3369,848,14633
2021-10-19,16218,2407,932,19557
2021-10-20,14286,3512,1238,19036
2021-10-21,4253,4038,712,9003
2021-10-22,2299,1982,553,4834
2021-10-23,422,253,373,1048
2021-10-24,136,16,1,153
2021-10-25,2378,311,122,2811
2021-10-26,1044,778,239,2061
2021-10-27,11503,4230,1430,17163
2021-10-28,554,65,48,667
2021-10-29,1433,422,157,2012
2021-10-30,1929,457,146,2532
2021-10-31,178,152,35,365
2021-11-01,461,596,262,1319
2021-11-02,347,389,113,849
2021-11-03,312,401,286,999
2021-11-04,259,3000,602,3861
2021-11-05,242,700,325,1267
2021-11-06,474,635,311,1420
2021-11-07,606,706,312,1624
2021-11-08,1579,2281,453,4313
2021-11-09,534,522,200,1256
2021-11-10,432,297,180,909
2021-11-11,312,180,111,603
2021-11-12,679,485,253,1417
2021-11-13,520,612,262,1394
2021-11-14,1550,337,214,2101
2021-11-15,2342,166,99,2607
2021-11-16,999,714,373,2086
2021-11-17,1027,685,236,1948
2021-11-18,1157,654,922,2733
2021-11-19,483,247,267,997
2021-11-20,1358,431,275,2064
2021-11-21,424,248,182,854
2021-11-22,1536,630,341,2507
2021-11-23,3656,462,340,4458
2021-11-24,136,150,29,315
2021-11-25,326,786,221,1333
2021-11-26,2080,600,596,3276
2021-11-27,156,7,31,194
2021-11-28,41,2,0,43
2021-11-29,125,113,28,266
2021-11-30,243,458,537,1238
2021-12-01,446,570,375,1391
2021-12-02,26,75,0,101
2021-12-03,109,94,119,322
2021-12-04,43,18,5,66
2021-12-05,366,349,195,910
2021-12-06,119,107,225,451
2021-12-07,394,342,198,934
2021-12-08,38,38,0,76
2021-12-09,11,1,19,31
2021-12-10,129,300,0,429
2021-12-11,260,415,429,1104
2021-12-12,418,367,280,1065
2021-12-13,894,725,222,1841
2021-12-14,150,276,2,428
2021-12-15,286,3024,257,3567
2021-12-16,706,4775,277,5758
2021-12-17,236,7312,108,7656
2021-12-18,6,2,0,8
2021-12-19,181,260,240,681
2021-12-20,510,590,443,1543
2021-12-21,468,540,849,1857
2021-12-22,1508,1085,609,3202
2021-12-23,445,143,667,1255
2021-12-24,303,4,1,308
2021-12-25,4059,180,12,4251
2021-12-26,1246,114,1,1361
2021-12-27,109,132,43,284
2021-12-28,1248,320,1812,3380
2021-12-29,129,134,193,456
2021-12-30,732,838,784,2354
2021-12-31,8,8,3,19
2022-01-01,2,182,28,212
2022-01-02,5,88,0,93
2022-01-03,55,192,90,337
2022-01-04,511,520,586,1617
2022-01-05,15,9,0,24
2022-01-06,138,92,132,362
2022-01-07,667,3156,298,4121
2022-01-08,9,4,0,13
2022-01-09,239,113,40,392
2022-01-10,1580,10875,599,13054
2022-01-11,1406,1291,2,2699
2022-01-12,122,68,2,192
2022-01-13,6308,7697,1582,15587
2022-01-14,48,32,10,90
2022-01-15,793,884,138,1815
2022-01-16,140,3,0,143
2022-01-17,11484,8404,1675,21563
2022-01-18,2819,4767,630,8216
2022-01-19,2212,1640,805,4657
2022-01-20,4866,2622,311,7799
2022-01-21,4995,3995,1804,10794
2022-01-22,221,57,123,401
2022-01-23,107,142,0,249
2022-01-24,417,835,7,1259
2022-01-25,1058,907,528,2493
2022-01-26,89,157,63,309
2022-01-27,5363,2503,685,8551
2022-01-28,13375,7408,337,21120
2022-01-29,3476,2448,63,5987
2022-01-30,140,0,0,140
2022-01-31,9096,6646,94,15836
2022-02-01,6015,4479,428,10922
2022-02-02,122,396,162,680
2022-02-03,618,265,263,1146
2022-02-04,3521,3841,805,8167
2022-02-05,35,24,1,60
2022-02-06,288,125,28,441
2022-02-07,19083,11779,1701,32563
2022-02-08,16668,5158,153,21979
2022-02-09,12172,3412,33,15617
2022-02-10,12066,3677,114,15857
2022-02-11,12411,4337,226,16974
2022-02-12,7457,2795,282,10534
2022-02-13,9,12,2,23
2022-02-14,8036,3466,107,11609
2022-02-15,8869,4123,329,13321
2022-02-16,6653,4801,308,11762
2022-02-17,10422,4906,637,15965
2022-02-18,2884,1648,289,4821
2022-02-19,125,115,81,321
2022-02-20,681,7,0,688
2022-02-21,5411,623,316,6350
2022-02-22,2217,380,213,2810
2022-02-23,60770,254,264,61288
2022-02-24,4574,6683,955,12212
2022-02-25,1987,631,871,3489
2022-02-26,4858,312,3099,8269
2022-02-27,13,192,5,210
2022-02-28,11614,9123,2777,23514
2022-03-01,1109,1806,1751,4666
2022-03-02,1763,2851,6688,11302
2022-03-03,1954,3421,42777,48152
2022-03-04,1317,652,593,2562
2022-03-05,5,70,6,81
2022-03-06,68,6,59,133
2022-03-07,231,68,176,475
2022-03-08,1585,656,450,2691
2022-03-09,1828,1721,531,4080
2022-03-10,2540,3877,950,7367
2022-03-11,1792,1189,746,3727
2022-03-12,373,10,3,386
2022-03-13,908,638,94,1640
2022-03-14,133,545,0,678
2022-03-15,2193,1582,880,4655
2022-03-16,1467,1456,190,3113
2022-03-17,2322,2467,217,5006
2022-03-18,9,1,0,10
2022-03-19,125,61,45,231
2022-03-20,32,367,14,413
2022-03-21,246,759,63,1068
2022-03-22,483,3059,161,3703
2022-03-23,549,2035,181,2765
2022-03-24,8,94,2,104
2022-03-25,14,239,0,253
2022-03-26,2,279,0,281
2022-03-27,3,392,0,395
2022-03-28,219,278,2,499
2022-03-29,33,393,28,454
2022-03-30,398,436,43,877
2022-03-31,5,143,1,149
2022-04-01,733,1110,50,1893
2022-04-02,65,50,0,115
2022-04-03,2,52,0,54
2022-04-04,233,301,0,534
2022-04-05,638,1013,3,1654
2022-04-06,428,375,0,803
2022-04-07,278,613,3,894
2022-04-08,17,239,0,256
2022-04-09,207,134,54,395
2022-04-10,17,23,0,40
2022-04-11,12,38,2,52
2022-04-12,66,88,0,154
2022-04-13,47,22,0,69
2022-04-14,3,11,0,14
2022-04-15,6,7,0,13
2022-04-16,3,18,0,21
2022-04-17,4,62,0,66
2022-04-18,8,17,0,25
2022-04-19,51,5,0,56
2022-04-20,494,149,1325,1968
2022-04-21,455,161,136,752
2022-04-22,4,52,0,56
2022-04-23,440,65,181,686
2022-04-24,5,7,0,12
2022-04-25,120,54,16,190
2022-04-26,12,489,6,507
2022-04-27,157,133,67,357
2022-04-28,5,93,0,98
2022-04-29,5,116,0,121
2022-04-30,3,0,0,3
2022-05-01,5,6,0,11
2022-05-02,4,1,0,5
2022-05-03,5,16,0,21
2022-05-04,105,32,33,170
2022-05-05,147,84,9,240
2022-05-06,2206,334,670,3210
2022-05-07,391,98,92,581
2022-05-08,7,2,0,9
2022-05-09,60,101,8,169
2022-05-10,5,34,0,39
2022-05-11,497,76,42,615
2022-05-12,2,22,0,24
2022-05-13,15,10,0,25
2022-05-14,3,0,0,3
2022-05-15,4,7,0,11
2022-05-16,9,7,0,16
2022-05-17,8,1,0,9
2022-05-18,619,172,31,822
