key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
payment:coins,51,0.0104,10.8696,10.8696
delivery,50,0.0102,150.0,150.0
name:egl,50,0.0102,21.9512,21.9512
wall,50,0.0102,316.6667,316.6667
building:colour,49,0.01,-19.6721,-19.6721
fuel:octane_100,48,0.0098,65.5172,65.5172
government,48,0.0098,65.5172,65.5172
oneway:moped,48,0.0098,45.4545,45.4545
product,48,0.0098,128.5714,128.5714
psv:lanes,48,0.0098,433.3333,433.3333
mobile,47,0.0096,62.069,62.069
source:name,47,0.0096,-35.6164,-35.6164
bicycle:lanes:forward,46,0.0094,283.3333,283.3333
recycling:organic,46,0.0094,21.0526,21.0526
brewery,45,0.0092,200.0,200.0
cesena:ref_id,45,0.0092,66.6667,66.6667
fuel:cng,45,0.0092,21.6216,21.6216
payment:onchain,45,0.0092,200.0,200.0
substance,45,0.0092,-8.1633,-8.1633
access:lanes,44,0.009,388.8889,388.8889
ref:catasto,44,0.009,780.0,780.0
attraction,43,0.0087,258.3333,258.3333
parking:left,43,0.0087,-12.2449,-12.2449
route_ref,43,0.0087,-15.6863,-15.6863
stairs,43,0.0087,4200.0,4200.0
addr:place,42,0.0085,82.6087,82.6087
healthcare:speciality,42,0.0085,-12.5,-12.5
inscription,42,0.0085,200.0,200.0
ref:ISTAT,42,0.0085,740.0,740.0
cycleway:width,41,0.0083,583.3333,583.3333
industrial,41,0.0083,57.6923,57.6923
maxheight:signed,41,0.0083,4000.0,4000.0
parking:right,41,0.0083,-33.871,-33.871
addr:housename,40,0.0081,100.0,100.0
disused:amenity,40,0.0081,185.7143,185.7143
drinking_water,40,0.0081,233.3333,233.3333
name:hu,40,0.0081,471.4286,471.4286
park_ride,39,0.0079,160.0,160.0
payment:notes,39,0.0079,333.3333,333.3333
tourist_bus,39,0.0079,14.7059,14.7059
bicycle:lanes:backward,38,0.0077,216.6667,216.6667
changing_table,38,0.0077,80.9524,80.9524
official_name,38,0.0077,-29.6296,-29.6296
trolley_wire:backward,38,0.0077,100.0,100.0
distance,37,0.0075,1133.3333,1133.3333
mtb:scale:uphill,37,0.0075,117.6471,117.6471
name:pl,37,0.0075,1133.3333,1133.3333
seats,37,0.0075,12.1212,12.1212
proposed:railway,36,0.0073,176.9231,176.9231
toilets:wheelchair,36,0.0073,9.0909,9.0909
content,35,0.0071,483.3333,483.3333
name:azb,35,0.0071,3400.0,3400.0
name:grc,35,0.0071,3400.0,3400.0
name:ur,35,0.0071,3400.0,3400.0
internet_access:ssid,34,0.0069,-46.875,-46.875
male,34,0.0069,240.0,240.0
check_date:tactile_paving,33,0.0067,-42.1053,-42.1053
fhrs:id,33,0.0067,450.0,450.0
payment:contactless,33,0.0067,73.6842,73.6842
second_hand,33,0.0067,-2.9412,-2.9412
site_ownership,33,0.0067,200.0,200.0
source:date,33,0.0067,32.0,32.0
allocation:it,32,0.0065,190.9091,190.9091
female,32,0.0065,300.0,300.0
fountain,32,0.0065,433.3333,433.3333
governance_type,32,0.0065,190.9091,190.9091
iucn_level:ref,32,0.0065,190.9091,190.9091
protect_class,32,0.0065,190.9091,190.9091
protection_aim,32,0.0065,190.9091,190.9091
protection_title,32,0.0065,190.9091,190.9091
ref:EUAP,32,0.0065,190.9091,190.9091
ref:SIC,32,0.0065,190.9091,190.9091
related_law,32,0.0065,190.9091,190.9091
site_status,32,0.0065,190.9091,190.9091
source:population,32,0.0065,3100.0,3100.0
lanes:psv,31,0.0063,520.0,520.0
payment:lightning_contactless,31,0.0063,181.8182,181.8182
ref:WDPA,31,0.0063,3000.0,3000.0
currency:EUR,30,0.0061,11.1111,11.1111
ford,30,0.0061,-14.2857,-14.2857
name:lt,30,0.0061,76.4706,76.4706
oneway:foot,30,0.0061,900.0,900.0
overtaking,30,0.0061,25.0,25.0
proposed,30,0.0061,650.0,650.0
sidewalk:both:surface,30,0.0061,3.4483,3.4483
area:highway,29,0.0059,383.3333,383.3333
bar,29,0.0059,141.6667,141.6667
club,29,0.0059,7.4074,7.4074
conveying,29,0.0059,1350.0,1350.0
created_by,29,0.0059,163.6364,163.6364
garden:type,29,0.0059,52.6316,52.6316
guest_house,29,0.0059,141.6667,141.6667
crossing:barrier,28,0.0057,40.0,40.0
fire_hydrant:type,28,0.0057,-54.0984,-54.0984
monorail,28,0.0057,600.0,600.0
artist:wikidata,27,0.0055,2600.0,2600.0
communication:mobile_phone,27,0.0055,12.5,12.5
cycleway:left:oneway,27,0.0055,68.75,68.75
name:gr,27,0.0055,2600.0,2600.0
preschool,27,0.0055,-3.5714,-3.5714
protection_instruction,27,0.0055,170.0,170.0
roof:colour,27,0.0055,0.0,0.0
was:name,27,0.0055,-35.7143,-35.7143
addr:floor,26,0.0053,116.6667,116.6667
architect,26,0.0053,116.6667,116.6667
cables,26,0.0053,-78.1513,-78.1513
charge,26,0.0053,-3.7037,-3.7037
recycling:plastic_packaging,26,0.0053,-21.2121,-21.2121
service:bicycle:pump,26,0.0053,-40.9091,-40.9091
disused:waterway,25,0.0051,2400.0,2400.0
name:etymology:wikipedia,25,0.0051,-3.8462,-3.8462
plant_community:it,25,0.0051,66.6667,66.6667
