key,value,count,percent_of_total_changes_for_key
name,Rio Limisano,2,0.0455
name,Rio di Quercia Buca,2,0.0455
name,Rotonda Cesare Malossi,2,0.0455
name,Rotonda Elena Lucrezia Corner Piscopia,2,0.0455
name,Sala Blu,2,0.0455
name,San Pio V,2,0.0455
name,Santuario della Madonna di San Luca,2,0.0455
name,Scout,2,0.0455
name,Sede di Mineralogia,2,0.0455
name,Serre dei Giardini,2,0.0455
name,Sferisterio,2,0.0455
name,Sirene,2,0.0455
name,Spazio Enel,2,0.0455
name,Stefino,2,0.0455
name,Storie di libri,2,0.0455
name,Strada Provinciale 117,2,0.0455
name,Studio Legale Avv. Angela Nicolardi,2,0.0455
name,Studio Service,2,0.0455
name,Studio associato Via Grandi,2,0.0455
name,Tabacchi,2,0.0455
name,Tamoil,2,0.0455
name,The Social Hub,2,0.0455
name,Tigotà,2,0.0455
name,Torrente Marzeno,2,0.0455
name,Torrente Pisciatello,2,0.0455
name,Torrente Sillaro,2,0.0455
name,Turati,2,0.0455
name,Turis Bar,2,0.0455
name,Tuscolano,2,0.0455
name,Unieuro,2,0.0455
name,Venchi SPA,2,0.0455
name,Via Adolfo Bellucci,2,0.0455
name,Via Agostino Bignardi,2,0.0455
name,Via Aguta,2,0.0455
name,Via Ambrogio e Piero Lorenzetti,2,0.0455
name,Via Augusto Righi,2,0.0455
name,Via Augusto Urbinati,2,0.0455
name,Via Azzo Gardino,2,0.0455
name,Via Balzetta,2,0.0455
name,Via Bastia,2,0.0455
name,Via Bastiana,2,0.0455
name,Via Belmeloro,2,0.0455
name,Via Bernardino Brignani,2,0.0455
name,Via Bevano,2,0.0455
name,Via Borgo di Linaro,2,0.0455
name,Via Borse,2,0.0455
name,Via Brusa,2,0.0455
name,Via Bruschi,2,0.0455
name,Via Cappelle,2,0.0455
name,Via Cardinala,2,0.0455
name,Via Carlo Alberto Pizzardi,2,0.0455
name,Via Casalina,2,0.0455
name,Via Castellaro,2,0.0455
name,Via Cavallazzi,2,0.0455
name,Via Cavour,2,0.0455
name,Via Cella,2,0.0455
name,Via Cerchia,2,0.0455
name,Via Cesare Boldrini,2,0.0455
name,Via Chiesa,2,0.0455
name,Via Clavature,2,0.0455
name,Via Clotilde Tambroni,2,0.0455
name,Via Col Di Lana,2,0.0455
name,Via Convento Linaro,2,0.0455
name,Via Copernico,2,0.0455
name,Via Corsica,2,0.0455
name,Via Cristoforo Colombo,2,0.0455
name,Via Dante Di Nanni,2,0.0455
name,Via De Coubertin,2,0.0455
name,Via Don Luigi Sturzo,2,0.0455
name,Via Duccio Galimberti,2,0.0455
name,Via Edoardo Brizio,2,0.0455
name,Via Emilia Ponente,2,0.0455
name,Via Erbosa,2,0.0455
name,Via Europa,2,0.0455
name,Via Ex Tramvia,2,0.0455
name,Via Fausto Grossi,2,0.0455
name,Via Felice Cavallotti,2,0.0455
name,Via Fernando de Rosa,2,0.0455
name,Via Filippo De Pisis,2,0.0455
name,Via Fosso Drittolo,2,0.0455
name,Via Francesco Albergati,2,0.0455
name,Via Francesco Baracca,2,0.0455
name,Via Franco Gentilini,2,0.0455
name,Via Fratelli Cervi,2,0.0455
